index,date
1,2020-02-16
2,2020-02-17
3,2020-02-18
4,2020-02-19
5,2020-02-20
6,2020-02-21
7,2020-02-22
8,2020-02-23
9,2020-02-24
10,2020-02-25
11,2020-02-26
12,2020-02-27
13,2020-02-28
14,2020-02-29
15,2020-03-01
16,2020-03-02
17,2020-03-03
18,2020-03-04
19,2020-03-05
20,2020-03-06
21,2020-03-07
22,2020-03-08
23,2020-03-09
24,2020-03-10
25,2020-03-11
26,2020-03-12
27,2020-03-13
28,2020-03-14
29,2020-03-15
30,2020-03-16
31,2020-03-17
32,2020-03-18
33,2020-03-19
34,2020-03-20
35,2020-03-21
36,2020-03-22
37,2020-03-23
38,2020-03-24
39,2020-03-25
40,2020-03-26
41,2020-03-27
42,2020-03-28
43,2020-03-29
